time,decibel
2026-07-28T03:44:31.153,41.3
2026-07-28T03:44:31.556,41.1
2026-07-28T03:44:31.959,40.8
2026-07-28T03:44:32.362,41.2
2026-07-28T03:44:32.765,40.6
2026-07-28T03:44:33.168,41.2
2026-07-28T03:44:33.571,41.3
2026-07-28T03:44:33.974,41.1
2026-07-28T03:44:34.377,41.3
2026-07-28T03:44:34.780,40.4
2026-07-28T03:44:35.183,41.3
2026-07-28T03:44:35.586,41.1
2026-07-28T03:44:35.989,40.9
2026-07-28T03:44:36.392,41.2
2026-07-28T03:44:36.795,40.9
2026-07-28T03:44:37.198,41.5
2026-07-28T03:44:37.601,41.3
2026-07-28T03:44:38.004,41.0
2026-07-28T03:44:38.407,41.5
2026-07-28T03:44:38.810,41.0
2026-07-28T03:44:39.213,41.1
2026-07-28T03:44:39.616,41.3
2026-07-28T03:44:40.019,41.0
2026-07-28T03:44:40.422,41.4
2026-07-28T03:44:40.825,41.3
2026-07-28T03:44:41.228,41.0
2026-07-28T03:44:41.631,41.3
2026-07-28T03:44:42.034,40.7
2026-07-28T03:44:42.437,41.1
2026-07-28T03:44:42.840,40.7
2026-07-28T03:44:43.243,41.0
2026-07-28T03:44:43.646,41.5
2026-07-28T03:44:44.050,41.2
2026-07-28T03:44:44.453,41.4
2026-07-28T03:44:44.856,41.3
2026-07-28T03:44:45.259,40.9
2026-07-28T03:44:45.662,41.7
2026-07-28T03:44:46.065,41.4
2026-07-28T03:44:46.468,41.6
2026-07-28T03:44:46.871,41.5
2026-07-28T03:44:47.274,41.0
2026-07-28T03:44:47.677,41.5
2026-07-28T03:44:48.080,41.1
2026-07-28T03:44:48.483,41.3
2026-07-28T03:44:48.886,41.4
2026-07-28T03:44:49.289,40.8
2026-07-28T03:44:49.692,41.2
2026-07-28T03:44:50.095,40.7
2026-07-28T03:44:50.498,41.2
2026-07-28T03:44:50.901,41.2
2026-07-28T03:44:51.304,40.9
2026-07-28T03:44:51.707,41.6
2026-07-28T03:44:52.110,41.1
2026-07-28T03:44:52.513,41.3
2026-07-28T03:44:52.916,41.3
2026-07-28T03:44:53.319,40.8
2026-07-28T03:44:53.722,41.4
2026-07-28T03:44:54.125,40.9
2026-07-28T03:44:54.528,41.1
2026-07-28T03:44:54.931,41.2
2026-07-28T03:44:55.334,40.5
2026-07-28T03:44:55.737,41.2
2026-07-28T03:44:56.140,40.7
2026-07-28T03:44:56.543,40.5
2026-07-28T03:44:56.946,41.1
2026-07-28T03:44:57.349,40.4
2026-07-28T03:44:57.752,41.2
2026-07-28T03:44:58.155,40.9
2026-07-28T03:44:58.558,40.6
2026-07-28T03:44:58.961,41.2
2026-07-28T03:44:59.364,40.8
2026-07-28T03:44:59.767,41.3
2026-07-28T03:45:00.170,41.0
2026-07-28T03:45:00.573,40.6
2026-07-28T03:45:00.976,41.2
2026-07-28T03:45:01.379,40.3
2026-07-28T03:45:01.783,41.3
2026-07-28T03:45:02.185,41.0
2026-07-28T03:45:02.588,40.6
2026-07-28T03:45:02.991,41.2
2026-07-28T03:45:03.394,40.6
2026-07-28T03:45:03.797,41.2
2026-07-28T03:45:04.200,41.2
2026-07-28T03:45:04.603,40.8
2026-07-28T03:45:05.006,41.3
2026-07-28T03:45:05.409,40.9
2026-07-28T03:45:05.812,41.2
2026-07-28T03:45:06.215,41.2
2026-07-28T03:45:06.618,40.7
2026-07-28T03:45:07.021,41.2
2026-07-28T03:45:07.424,40.8
2026-07-28T03:45:07.827,41.0
2026-07-28T03:45:08.230,41.2
2026-07-28T03:45:08.633,40.8
2026-07-28T03:45:09.036,41.1
2026-07-28T03:45:09.440,40.9
2026-07-28T03:45:09.843,41.0
2026-07-28T03:45:10.246,41.2
2026-07-28T03:45:10.649,40.5
2026-07-28T03:45:11.052,41.2
2026-07-28T03:45:11.455,40.8
2026-07-28T03:45:11.858,40.4
2026-07-28T03:45:12.261,41.3
2026-07-28T03:45:12.664,40.2
2026-07-28T03:45:13.067,41.0
2026-07-28T03:45:13.470,41.0
2026-07-28T03:45:13.873,40.7
2026-07-28T03:45:14.276,41.3
2026-07-28T03:45:14.679,40.9
2026-07-28T03:45:15.082,41.2
2026-07-28T03:45:15.485,41.2
2026-07-28T03:45:15.888,41.0
2026-07-28T03:45:16.291,41.4
2026-07-28T03:45:16.694,40.9
2026-07-28T03:45:17.097,41.2
2026-07-28T03:45:17.500,41.4
2026-07-28T03:45:17.903,41.1
2026-07-28T03:45:18.306,41.1
2026-07-28T03:45:18.710,40.8
2026-07-28T03:45:19.113,41.2
2026-07-28T03:45:19.516,41.2
2026-07-28T03:45:19.919,40.7
2026-07-28T03:45:20.322,41.1
2026-07-28T03:45:20.725,40.9
2026-07-28T03:45:21.128,41.0
2026-07-28T03:45:21.531,41.3
2026-07-28T03:45:21.934,41.0
2026-07-28T03:45:22.337,41.3
2026-07-28T03:45:22.740,41.1
2026-07-28T03:45:23.143,41.1
2026-07-28T03:45:23.546,41.6
